评论内容,匹配的长文本
6.GPS信号弱,给你补充: 1.4k画质糊，插值运算生成的，虚标 2.续航时间虚标，18分钟，实际使用在13-15分钟 3.最大飞行速度虚标，实际达不到 4.图传距离虚标，标称10公里，实际很多人不到1公里就丢图传 5.暗光定位不行，视觉定位硬件偷工减料，导致傍晚和室内飞行容易进入姿态模式炸机 6.GPS信号弱，容易飞丢 7.跟随稳定性差，容易炸机
6.GPS信号弱,1.4k画质糊，插值运算生成的，虚标 2.续航时间虚标，18分钟，实际使用在13-15分钟 3.最大飞行速度虚标，实际达不到 4.图传距离虚标，标称10公里，实际很多人不到1公里就丢图传 5.暗光定位不行，视觉定位硬件偷工减料，导致傍晚和室内飞行容易进入姿态模式炸机 6.GPS信号弱，容易飞丢 7.跟随稳定性差，容易炸机
公里信号就会快速衰减稳定性,操作难易：操作简单，容易上手，大疆的飞控系统一如既往的好用，非常稳定灵敏度：实测在城市超过2公里信号就会快速衰减稳定性：四五级风左右，加上镜头云台的加持还算比较稳定做工质量：不知道耐不耐摔🤣🤣
一般在1.2公里后就会出现信号衰减,操作难易：操作比较简单，熟悉一下就可以熟练操作灵敏度：灵敏度很好，遥控器摇杆阻尼设定很好。机身机动性一般，不是太灵活（速度略慢）稳定性：图传是O2，传输距离、稳定性还凑合。市区限高区最远能达到2公里（楼顶起飞），一般在1.2公里后就会出现信号衰减，然后断断续续的趋向稳定。可能跟周边的高层建筑有关，楼体对信号影响极大。飞行稳定性跟风力大小、楼体风口风量有关。另外转向后悬停静止，机身位置会小范围偏移做工质量：做工质量：实物给人感觉不太值这个价，做工质量还不错。没有太大的做工问题。外形外观：外形外观：外观比较耐看、小巧 ，折叠携带很方便其他特色：拍照清晰度跟2K-3K价位的手机类似，录像效果强于拍照效果。另外变焦（2倍数码）能力太差了，基本等于没有。没有前后左右上避障，飞行前一定要熟悉周边环境。注意树枝、电线、风筝线、漂浮塑料袋等物体。在飞行过程中整体散热性能还不错。就是手机快传的时候由于处于无风静止状态，传输时间过长容易出现机体过热警报。另外对内存卡的读写速度有一定要求，尽量用无人机、行车记录仪、健康专用的高读写速度的卡。
空旷地飞了两公里左右信号开始衰减剩两格,操控性强，悬停稳定，电池也不错啊，普通电池至少30分钟，三块电池足够，摄像头非常清晰，无人机还得是大疆！空旷地飞了两公里左右信号开始衰减剩两格，不敢在飞远返航了！
信号有一点衰减迹象应该有意识,信号中断很正常，突然隔墙就会这样，或者就是你自己没看右上角的状态栏，信号有一点衰减迹象应该有意识。不过这不是主要的，最重要的是你返航设置的问题，返航高度应设置成高于周围一切障碍物的数值（在离自己50m以上才会启动先上升再返航的程序），多半没好好看说明书
且飞且珍惜图传隔着楼信号就骤降,500米，且飞且珍惜图传隔着楼信号就骤降
图传低飞有遮挡物300,买了。图传低飞有遮挡物300-400米左右失联。飞高图传还可以。
七天只有一次因为障碍物遮挡丢失图传,我是在丢掉了Air2s后第五天就买了Air3的，看了网上很多人说这代不值得买，但值不值得只有用了才知道，出去旅行一周，我的air3基本就是拍照主力，长焦利用率也极高，画质表现我觉得也完全可以，最关键的是续航真的舒服，也可以直接用车载充电器给无人机和充电盒充电，比起以前是方便了不少，O4图传也比较靠谱，七天只有一次因为障碍物遮挡丢失图传，出片率还是相当可以的。
就是飞远了有遮挡物会丢失图传稳定性,操作难易：很简单，容易上手。灵敏度：稳定无延迟，就是飞远了有遮挡物会丢失图传稳定性：稳的一批做工质量：质量很好，外形外观：帅气
图传这个大概率就是周围遮挡物太多我之前在山里植被太繁茂,御三Pro抗风能力不可能差，都能顶小台风了。我自己在大风海边飞的时候都感觉稳得一批。图传这个大概率就是周围遮挡物太多我之前在山里植被太繁茂，被提示rc信号不好。大雾天我也飞过，不是御三是air2。安全飞回。看下面小地图就行。实在不行返回图中没遮挡情况下，一键返航。至于售后……直接找线下网点是最好的
眼镜图传延迟也感觉不出来,三代鸡腿控上手很简单稍微练一练就可以做一下简单的机动了，眼镜图传延迟也感觉不出来，大疆飞控依旧靠谱风大了还会在眼镜上提示风速过大，哪怕飞机很抖拍出来的画面一点也不受影响，可惜眼镜不能像二代了一样当ar眼镜用了希望下一代把这个功能加回来
更快的速度和全新的图传操作起来延迟很低,这算是迄今为止最快最满意的购物了，原本习惯了4天的快递，8月28半夜下单8月30中午就到了，9月1号试飞都说主摄就是mini3pro的摄像头，但是算法绝对比mini3pro强太多了，早上拍雾Air3轻松应对，小mini就有点力不从心，加上O4图传确实有提升，全向避障真是保护了我这种手残党，开普通档飞也不怕炸机了，抗风性也是非常不错，加上是内置4g模块和内置套餐，不用占用电话卡了，也不用外挂还得拖个数据线了操作难易：上手真的容易，学习成本低灵敏度：更快的速度和全新的图传操作起来延迟很低，而且升级1080p60帧画质看起来更丝滑流畅稳定性：真的是稳如老狗，没得说做工质量：质量杠杠的，这点没的说其他特色：上面说的内置模块算不算(手动滑稽🤪)
同时全网搜索范围内只有大疆的无人机才有图传超出延迟的功能,1. 外观设计方面，机身采用了传统的铝合金框架结构，表面覆盖了一层类似橡胶的材质，手感舒适且不易滑落。全黑色搭配白色标志的设计简约而实用，尺寸和重量相对较小，携带方便，适合户外活动。2. 性能方面，飞行速度、飞行时间、飞行距离和抗风能力表现优秀。最大水平飞行速度为16米/秒，最大垂直飞行速度为5米/秒，最长续航时间为31分钟，最远图传距离为4公里，最大抗风等级为5级。3. 操作体验方面，遥控器设计简单易用，内置2600mAh电池，续航能力强。同时全网搜索范围内只有大疆的无人机才有图传超出延迟的功能，所以整体操作体验十分流畅。
图传失联是非常正常的现象,图传失联是非常正常的现象！因为有很多因素，军区，干扰区，距离过长太多因素了..自动返航一定要设置80-100的高度，这个高度内基本没有树和电线.建筑区都得设置的更高.阻挡就会失联...
除了遥控器图传有缺陷,除了遥控器图传有缺陷，其他都非常好，性价比高。如果rc2遥控也能hdmi无参数界面图传输出就好了。
图传不清楚卡顿现象,3天，产品质量有问题，图传不清楚卡顿现象，失控掉线，还不给退货，就是垃圾产品。真怀疑是不是正品稳定性：差评
图传有时候到一公里就会断开连接,像素好，防风稳，夜拍也很不错，就是有些发热，续航会随着高度和飞行模式跟着变，续航45分钟感觉够呛，图传有时候到一公里就会断开连接，还好有断联自动返航，要不就找不到了
当时还是没有图传黑屏状态）,我前两天遇到一次，电量20%，提示迫降，距离700多米，我赶紧点一键返航，同时点开右上角设置看了一下，电量低默认一键返航高度是20米，（之前自己设置的好像是80米左右），赶紧看了一下当时高度好像是100多，就留心了一下高度，手动操作高度不能低于周围建筑物高度，然后丢图传紧接就是黑屏，然后，不死心，不停地点一键返航，没有任何反映，想完了，当时都准备去找飞机了，混乱中，听到飞机的轰鸣声已经到头顶并开始下降，（当时还是没有图传黑屏状态）当时真的好险。前后过程也就是2-3分钟。
间隔个墙就断图传的垃圾玩意,没有4g模块，间隔个墙就断图传的垃圾玩意
老是断图传,我卡住了，飞机都转向了，遥控器还是卡住不动，老是断图传
有时候原地上升5米就断图传,哈博森垃圾到家，我是从黑2换成mini3p的，黑2售后售后差劲，信号信号差劲，像素像素差劲，装个模块飞个一公里就没了，有时候原地上升5米就断图传，什么都差。总之，无人机只有大疆和其他
图传丢失,图传丢失
图传丢失,我个人觉得吧，应该是图传丢失以后，无人机执行返航操作的时候撞楼炸了，只是我的个人观点哈
图传丢失,信号丢失又不是图传丢失
